,NAME,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,msa
123,"Detroit-Warren-Dearborn, MI Metro Area",4319629,1916951,1916951,196341,196341,1720610,1720610,1720610,522750,168633,446126,879079,333020,61015,11732899,32311,271066,825252,944681,579485,398861,19820
124,"Dothan, AL Metro Area",149358,70345,70345,13550,13550,56795,56795,56795,17828,3162,15824,39800,9396,1698,414688,26342,16986,33239,33767,13563,7518,20020
125,"Dover, DE Metro Area",180786,74455,74455,6432,,68023,68023,68023,22705,2944,15434,37343,13650,3665,459957,30155,13815,38869,39322,19111,10738,20100
128,"Dubuque, IA Metro Area",97311,41755,41755,,3410,38345,38345,38345,9769,3262,10315,17250,7381,1849,251309,31823,3688,22396,17750,14179,7059,20220
129,"Duluth, MN-WI Metro Area",289383,152781,152781,27868,27868,124913,124913,124913,33669,18778,47698,57181,21413,3898,864720,31519,11470,55883,77950,38836,18931,20260
130,"Durham-Chapel Hill, NC Metro Area",644367,279480,279480,24209,24209,255271,255271,255271,98450,25962,70139,120171,45849,11382,1640446,34759,47864,89789,100307,101740,103505,20500
131,"East Stroudsburg, PA Metro Area",170271,81828,81828,25554,25554,56274,56274,56274,14133,5013,17552,37359,17257,3170,494763,30138,10481,41936,35819,20295,10714,20700
132,"Eau Claire, WI Metro Area",169304,73617,73617,6521,6521,67096,67096,67096,20068,5751,21159,29432,12346,3963,456001,31794,5690,32559,41018,21934,11796,20740
133,"El Centro, CA Metro Area",181215,58285,58285,,10103,48182,48182,48182,21460,6854,13091,24009,10728,1703,298139,19125,31668,26050,33468,15536,5033,20940
134,"Elizabethtown-Fort Knox, KY Metro Area",154713,65167,65167,,6577,58590,58590,58590,20751,3360,16681,28987,10244,4298,396348,31191,10728,35242,36655,13663,8890,21060
135,"Elkhart-Goshen, IN Metro Area",206341,79764,79764,11211,11211,68553,68553,68553,18602,6236,18125,36371,14527,4041,505417,29214,23050,48765,33187,18298,7777,21140
136,"Elmira, NY Metro Area",83456,39081,39081,5591,5591,33490,33490,33490,9418,3799,10407,16851,6595,1036,234682,28886,4688,19181,20658,8165,6883,21300
137,"El Paso, TX Metro Area",843725,302722,302722,32585,32585,270137,270137,270137,106704,25333,64802,138840,56844,7565,1633845,23326,106607,133378,161678,85891,35829,21340
138,"Enid, OK Metro Area",61056,26769,26769,,3086,23683,23683,23683,7733,1860,6599,11742,5307,972,159687,30701,4388,13310,13031,6013,2804,21420
139,"Erie, PA Metro Area",269728,121861,121861,11733,11733,110128,110128,110128,36973,10260,30152,54958,20763,3302,738982,27342,17176,68212,46287,34869,20211,21500
140,"Eugene-Springfield, OR Metro Area",382067,164846,164846,9150,9150,155696,155696,155696,65398,16432,49938,65424,21555,4608,876382,27988,19072,61427,98709,50858,34795,21660
142,"Evansville, IN-KY Metro Area",315086,143393,143393,13422,13422,129971,129971,129971,42316,16641,39711,60721,19993,4489,847401,30229,18899,78376,63214,38628,19914,21780
143,"Fairbanks, AK Metro Area",96849,44316,44316,8760,8760,35556,35556,35556,13556,4868,11272,13477,9156,1274,234547,38104,2654,12724,25511,10212,10179,21820
144,"Fargo, ND-MN Metro Area",246145,112592,112592,8495,8495,104097,104097,104097,49491,16328,35130,30064,20225,8726,666346,35578,7096,34800,51943,43531,20127,22020
147,"Farmington, NM Metro Area",123958,51481,51481,8920,8920,42561,42561,42561,14193,3346,13777,22845,7678,1335,267619,23753,11657,24706,33095,6661,5050,22140
148,"Fayetteville, NC Metro Area",526719,221723,221723,27787,27787,193936,193936,193936,86811,10487,46105,121078,34245,5990,1281046,27310,32400,93640,126804,51442,27460,22180
149,"Fayetteville-Springdale-Rogers, AR Metro Area",536120,216377,216377,19694,19694,196683,196683,196683,76019,15584,50007,97225,37381,8831,1239202,30858,43801,99070,85471,70154,42564,22220
151,"Flagstaff, AZ Metro Area",143476,67491,67491,18498,18498,48993,48993,48993,18862,5927,18349,27622,9962,2233,341976,26153,5516,17279,28376,18637,14874,22380
152,"Flint, MI Metro Area",405813,192921,192921,23674,23674,169247,169247,169247,50801,15615,52582,90649,27759,4702,1143683,28519,27043,86307,107128,37975,22484,22420
153,"Florence, SC Metro Area",204911,92831,92831,14983,14983,77848,77848,77848,26095,2465,18513,51687,13865,2584,549480,25806,18670,49021,39316,19780,12409,22500
154,"Florence-Muscle Shoals, AL Metro Area",147970,72483,72483,11646,11646,60837,60837,60837,20768,6355,16410,35096,11879,2392,446530,24688,14565,38612,29556,12923,8066,22520
155,"Fond du Lac, WI Metro Area",103403,45554,45554,,,42604,42604,42604,13807,4340,12171,20071,6413,930,264876,35992,5070,26237,24235,11196,5974,22540
157,"Fort Collins, CO Metro Area",356899,154407,154407,7769,7769,146638,146638,146638,50240,12836,39580,52097,32848,14892,986805,35956,8472,42827,70138,71744,45008,22660
159,"Fort Smith, AR-OK Metro Area",249152,111754,111754,13447,13447,98307,98307,98307,37185,9365,28874,55518,13046,2836,627615,25351,23819,58962,50195,23917,11359,22900
160,"Fort Wayne, IN Metro Area",413263,175751,175751,15289,15289,160462,160462,160462,46873,15897,36429,80897,32873,6290,1098141,31274,28552,76531,90337,51950,24343,23060
162,"Fresno, CA Metro Area",999101,336479,336479,20505,20505,315974,315974,315974,146538,28147,79164,142714,56138,11501,1763374,27429,145187,136503,202934,91545,45271,23420
163,"Gadsden, AL Metro Area",102268,47855,47855,,7802,40053,40053,40053,10877,1827,13824,24174,5400,1421,283037,23297,11380,23037,24958,7524,4845,23460
164,"Gainesville, FL Metro Area",328517,149591,149591,22855,22855,126736,126736,126736,52719,15590,41858,62156,22334,3823,814103,26077,17147,48744,61381,41176,39688,23540
165,"Gainesville, GA Metro Area",204441,76167,76167,,10542,65625,65625,65625,17326,3305,15126,33716,16497,6233,495984,30519,27615,36385,36817,20969,13324,23580
167,"Gettysburg, PA Metro Area",103009,42760,42760,,4057,38703,38703,38703,8368,2655,8624,20911,7768,1373,269100,30125,7922,30948,18169,8696,6988,23900
168,"Glens Falls, NY Metro Area",125148,69928,69928,16242,16242,53686,53686,53686,14428,5841,19940,29429,10460,3197,412901,31654,9142,31693,27622,14254,10688,24020
170,"Goldsboro, NC Metro Area",123131,54736,54736,6254,6254,48482,48482,48482,18967,1624,13525,29445,8744,919,322600,26218,11445,25703,28761,9504,5078,24140
171,"Grand Forks, ND-MN Metro Area",100815,48604,48604,3880,3880,44724,44724,44724,19916,7281,13746,15599,7894,2989,282550,32499,2963,13688,24508,13544,7836,24220
172,"Grand Island, NE Metro Area",75553,32123,32123,,,30529,30529,30529,10693,2233,7917,13503,5565,2030,202777,31444,6661,16359,15899,7094,3279,24260
173,"Grand Junction, CO Metro Area",154210,68118,68118,,4474,63644,63644,63644,18311,2382,15247,36516,9880,2764,389554,29655,9527,29498,36349,21132,10842,24300
174,"Grand Rapids-Kentwood, MI Metro Area",1077370,425430,425430,28667,28667,396763,396763,396763,109842,33161,102302,165689,88659,27890,2722771,31785,59028,188719,225895,157561,80206,24340
175,"Grants Pass, OR Metro Area",87487,39641,39641,,4435,35206,35206,35206,11867,3468,11532,18789,3973,447,209806,24355,7049,21697,25651,7007,3996,24420
176,"Great Falls, MT Metro Area",81366,39203,39203,6387,6387,32816,32816,32816,11172,3956,12027,12371,6828,2624,231485,27064,3981,18396,18267,9616,4359,24500
177,"Greeley, CO Metro Area",324492,115917,115917,4619,4619,111298,111298,111298,29410,5196,21185,45676,25910,16400,777406,37023,26031,52714,68943,38415,24527,24540
178,"Green Bay, WI Metro Area",322906,145175,145175,13076,13076,132099,132099,132099,45996,14107,40976,61158,21997,4546,838585,35502,17233,70674,70753,43789,17437,24580
180,"Greensboro-High Point, NC Metro Area",771851,338972,338972,37443,37443,301529,301529,301529,115169,22115,94013,149254,51090,12258,1962381,27078,71470,142829,153686,102235,55217,24660
181,"Greenville, NC Metro Area",180742,81250,81250,,10324,70926,70926,70926,35266,8499,21427,39027,8460,2416,442731,27231,13076,28701,34309,21609,14348,24780
182,"Greenville-Anderson, SC Metro Area",920477,395415,395415,45935,45935,349480,349480,349480,101747,23268,92782,186640,68510,16528,2407311,29443,75926,166035,187505,124288,71787,24860
184,"Guayama, PR Metro Area",69845,33514,33514,,9267,24247,24247,24247,5462,1136,5589,22315,3180,1096,155678,,,,,,,25020
185,"Gulfport-Biloxi, MS Metro Area",417665,190325,190325,31244,31244,159081,159081,159081,54848,11713,44510,99981,26374,4797,1076374,26990,27905,85054,106119,41862,22597,25060
186,"Hagerstown-Martinsburg, MD-WV Metro Area",289545,122621,122621,12267,12267,110354,110354,110354,33905,9800,28374,58615,19048,5110,756323,30341,25615,76764,56492,26645,18918,25180
187,"Hammond, LA Metro Area",134758,57545,57545,,11019,46526,46526,,12945,4209,13526,29594,8242,1307,323560,23178,13416,31144,21082,13525,8088,25220
188,"Hanford-Corcoran, CA Metro Area",152940,46958,46958,,,44761,44761,44761,20900,2900,11260,21933,9004,742,247803,28930,27077,21507,29754,11434,5311,25260
189,"Harrisburg-Carlisle, PA Metro Area",577941,254393,254393,20028,20028,234365,234365,234365,76120,23368,63770,104982,44309,13261,1594119,34897,37311,135671,97330,83786,50804,25420
190,"Harrisonburg, VA Metro Area",134964,54529,54529,7431,7431,47098,47098,47098,18198,3494,12508,22586,11579,2643,327960,27490,13254,26448,18568,14274,10627,25500
191,"Hartford-East Hartford-Middletown, CT Metro Area",1204877,518329,518329,41462,41462,476867,476867,476867,162702,69675,138451,193594,87785,16801,2987896,39322,74632,219178,214413,183495,151408,25540
192,"Hattiesburg, MS Metro Area",168469,71758,71758,12588,12588,59170,59170,,22746,5972,15924,34851,13357,1009,410622,23601,12209,31390,35870,16064,11153,25620
196,"Hickory-Lenoir-Morganton, NC Metro Area",369711,166316,166316,19992,19992,146324,146324,146324,37743,8250,47654,85719,20663,3120,953705,27289,43328,82492,87334,36040,16028,25860
198,"Hilton Head Island-Bluffton, SC Metro Area",222195,115366,115366,31272,31272,84094,84094,84094,19714,6552,30793,52481,18753,5036,685441,33925,13071,37765,48434,35441,25530,25940
199,"Hinesville, GA Metro Area",81344,36325,36325,6352,6352,29973,29973,29973,13255,1603,9324,16129,7767,1082,211223,30567,3713,15179,20599,5897,2563,25980
