,NAME,S1701_C01_001E,S1703_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S0101_C02_032E,S2301_C01_001E,msa
371,"Santa Cruz-Watsonville, CA Metro Area",261453,,97710,114509,51849,66859,-888888888,227867,42100
372,"Santa Fe, NM Metro Area",147701,,62182,50126,26228,49655,-888888888,128337,42140
373,"Santa Maria-Santa Barbara, CA Metro Area",424175,,146466,196141,98284,94688,-888888888,358847,42200
374,"Santa Rosa-Petaluma, CA Metro Area",486191,,190689,180643,95477,137564,-888888888,411096,42220
375,"Savannah, GA Metro Area",380242,,142579,168391,88264,81229,-888888888,313789,42340
377,"Sheboygan, WI Metro Area",112503,,48691,40878,25123,29502,-888888888,92735,43100
380,"Sherman-Denison, TX Metro Area",133208,,49024,49593,31979,34200,-888888888,106998,43300
382,"Shreveport-Bossier City, LA Metro Area",386520,,153824,153341,94193,90104,-888888888,311315,43340
383,"Sierra Vista-Douglas, AZ Metro Area",119881,,51982,44901,27003,37929,-888888888,101567,43420
384,"Sioux City, IA-NE-SD Metro Area",141339,,56092,55732,37229,30114,-888888888,110581,43580
385,"Sioux Falls, SD Metro Area",261492,,107499,107291,70467,52319,-888888888,205685,43620
387,"South Bend-Mishawaka, IN-MI Metro Area",309871,,126331,125955,74329,76844,-888888888,257581,43780
388,"Spartanburg, SC Metro Area",311193,,121256,123902,73712,72913,-888888888,255132,43900
389,"Spokane-Spokane Valley, WA Metro Area",552485,552485,229880,225650,124531,138085,-888888888,457270,44060
390,"Springfield, IL Metro Area",202466,,88394,75259,45772,53158,-888888888,166387,44100
391,"Springfield, MA Metro Area",659487,659487,270899,280237,134682,175877,-888888888,581413,44140
392,"Springfield, MO Metro Area",450751,,198019,190899,103813,108549,-888888888,375509,44180
393,"Springfield, OH Metro Area",131135,,54406,47852,29710,35526,-888888888,108730,44220
394,"State College, PA Metro Area",144042,,58963,81681,23363,34848,-888888888,141577,44300
396,"Staunton, VA Metro Area",116099,,51142,44378,23458,35655,-888888888,102573,44420
399,"Stockton, CA Metro Area",742138,742138,230241,316720,203759,140356,-888888888,581204,44700
400,"Sumter, SC Metro Area",137051,,56459,53704,31782,33139,-888888888,112760,44940
402,"Syracuse, NY Metro Area",618671,618671,255844,249036,135306,161605,-888888888,529387,45060
403,"Terre Haute, IN Metro Area",171027,,72899,73401,39221,45255,-888888888,151173,45460
405,"Tallahassee, FL Metro Area",364760,,152648,178315,73021,78781,-888888888,320210,45220
406,"Tampa-St. Petersburg-Clearwater, FL Metro Area",3148227,3148227,1228481,1177859,628593,859192,-888888888,2633030,45300
407,"Texarkana, TX-AR Metro Area",141469,,55028,53906,34443,35979,-888888888,118856,45500
408,"The Villages, FL Metro Area",122539,,59458,21615,9100,89001,-888888888,-999999999,45540
409,"Toledo, OH Metro Area",624083,624083,268089,248918,141406,157603,-888888888,516624,45780
410,"Topeka, KS Metro Area",226220,,95552,82695,54283,60767,-888888888,183919,45820
413,"Trenton-Princeton, NJ Metro Area",349835,,130851,146992,78062,82937,-888888888,299157,45940
415,"Tucson, AZ Metro Area",1017001,1017001,410404,413993,215606,278088,-888888888,853555,46060
417,"Tulsa, OK Metro Area",981865,981865,387176,390876,244433,221645,-888888888,781137,46140
419,"Tuscaloosa, AL Metro Area",239520,,90861,112039,52704,52806,-888888888,204701,46220
420,"Twin Falls, ID Metro Area",108876,,39654,41096,31692,22939,-888888888,80409,46300
421,"Tyler, TX Metro Area",227168,,78600,92469,56590,51615,-888888888,182406,46340
423,"Urban Honolulu, HI Metro Area",943455,943455,316456,393105,204874,235143,-888888888,792049,46520
424,"Utica-Rome, NY Metro Area",277321,,115904,105176,61037,78031,-888888888,236686,46540
425,"Valdosta, GA Metro Area",140677,,54425,65151,35204,27597,-888888888,113880,46660
426,"Vallejo, CA Metro Area",435439,,150393,177648,98885,102507,-888888888,359609,46700
427,"Victoria, TX Metro Area",97304,,32627,37731,24430,23382,-888888888,77445,47020
428,"Vineland-Bridgeton, NJ Metro Area",138614,,51360,58736,35556,32796,-888888888,116869,47220
429,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1696321,1696321,675311,738203,387046,384435,-888888888,1419227,47260
430,"Visalia, CA Metro Area",460020,,144109,195530,142252,77044,-888888888,340269,47300
431,"Waco, TX Metro Area",259584,,98944,114627,65200,57867,-888888888,212348,47380
432,"Walla Walla, WA Metro Area",55559,,23167,25157,12042,14573,-888888888,49876,47460
433,"Warner Robins, GA Metro Area",181440,,68831,76579,45706,36010,-888888888,144890,47580
434,"Kingsport-Bristol, TN-VA Metro Area",301710,,130928,103678,58574,91824,-888888888,256569,28700
435,"Kingston, NY Metro Area",169697,,69376,65377,31015,49104,-888888888,150739,28740
437,"Knoxville, TN Metro Area",848722,848722,347927,332947,178050,218492,-888888888,711675,28940
438,"Kalamazoo-Portage, MI Metro Area",257598,,103196,117970,57012,57170,-888888888,214250,28020
440,"Kankakee, IL Metro Area",105150,,39583,42905,24325,24637,-888888888,88384,28100
441,"Kansas City, MO-KS Metro Area",2121325,2121325,844310,855839,517143,464499,-888888888,1697546,28140
444,"Kennewick-Richland, WA Metro Area",295234,,101840,123332,84883,55937,-888888888,223653,28420
446,"Killeen-Temple, TX Metro Area",432231,,157088,208561,121467,74913,-888888888,351511,28660
447,"Kokomo, IN Metro Area",80726,,34151,29377,19278,21344,-888888888,65965,29020
448,"La Crosse-Onalaska, WI-MN Metro Area",131614,,56515,57135,27201,33773,-888888888,112425,29100
449,"Lafayette, LA Metro Area",479714,,184313,195681,119656,106068,-888888888,381416,29180
450,"Lafayette-West Lafayette, IN Metro Area",216165,,89655,115766,48176,44002,-888888888,190634,29200
452,"Lake Charles, LA Metro Area",205870,,79505,82509,52121,43782,-888888888,162013,29340
454,"Lake Havasu City-Kingman, AZ Metro Area",208280,,91095,58945,35605,87716,-888888888,181081,29420
455,"Lakeland-Winter Haven, FL Metro Area",709779,709779,238629,270762,159139,191618,-888888888,584373,29460
456,"Lancaster, PA Metro Area",532688,532688,204701,205388,127872,136672,-888888888,431887,29540
457,"Lansing-East Lansing, MI Metro Area",527390,527390,215854,235191,112205,125031,-888888888,451792,29620
458,"Laredo, TX Metro Area",273276,,76326,119673,89076,37576,-888888888,197296,29700
459,"Las Cruces, NM Metro Area",212737,,79094,93595,52678,47351,-888888888,171663,29740
460,"Las Vegas-Henderson-Paradise, NV Metro Area",2239097,2239097,813607,922067,520797,471707,-888888888,1801889,29820
463,"Lawrence, KS Metro Area",114055,,48508,62640,22753,22866,-888888888,101542,29940
464,"Lawton, OK Metro Area",116639,,44127,57345,29096,22685,-888888888,100537,30020
465,"Lebanon, PA Metro Area",138363,,53861,50530,31560,36700,-888888888,112923,30140
466,"Lewiston, ID-WA Metro Area",62001,,26915,22757,13271,18918,-888888888,50723,30300
467,"Lewiston-Auburn, ME Metro Area",104940,,45924,39318,23271,28275,-888888888,87583,30340
468,"Lexington-Fayette, KY Metro Area",498741,498741,205914,220307,113827,106127,-888888888,414945,30460
469,"Lima, OH Metro Area",97864,,40460,39294,23627,24967,-888888888,81560,30620
470,"Lincoln, NE Metro Area",321198,,135008,150370,76399,67797,-888888888,267566,30700
471,"Little Rock-North Little Rock-Conway, AR Metro Area",730010,730010,288565,300844,172607,164623,-888888888,591364,30780
472,"Logan, UT-ID Metro Area",138589,,45043,68839,42274,21462,-888888888,104038,30860
474,"Longview, TX Metro Area",275245,,102964,110334,70340,67093,-888888888,223616,30980
475,"Longview, WA Metro Area",108899,,42790,40308,25198,27970,-888888888,88442,31020
476,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13010414,13010414,4372678,5583340,2834225,2686886,-888888888,10702867,31080
477,"Louisville/Jefferson County, KY-IN Metro Area",1239207,1239207,495246,489230,282962,298607,-888888888,1016105,31140
478,"Lubbock, TX Metro Area",309485,,121838,150950,76302,57883,-888888888,254395,31180
481,"Lynchburg, VA Metro Area",254304,,102879,105572,53588,68384,-888888888,218212,31340
482,"Macon-Bibb County, GA Metro Area",222785,,85864,88618,53331,55520,-888888888,184572,31420
483,"Madera, CA Metro Area",148449,,44387,64278,43140,30264,-888888888,119190,31460
484,"Madison, WI Metro Area",648080,648080,279014,291441,135329,141733,-888888888,544019,31540
485,"Manchester-Nashua, NH Metro Area",408711,,162588,160751,84269,97625,-888888888,343869,31700
486,"Manhattan, KS Metro Area",118357,,46526,70861,28883,18560,-888888888,103736,31740
488,"Mankato, MN Metro Area",95658,,39791,46746,21597,21310,-888888888,82238,31860
489,"Mansfield, OH Metro Area",113846,,49812,42953,26106,31745,-888888888,97923,31900
493,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6168007,6168007,2251002,2611917,1434767,1208862,-888888888,4997338,47900
494,"Waterloo-Cedar Falls, IA Metro Area",162091,,67137,69539,36709,40642,-888888888,136493,47940
496,"Watertown-Fort Drum, NY Metro Area",102574,,41214,49250,25941,21895,-888888888,86550,48060
497,"Wausau-Weston, WI Metro Area",161412,,67342,56853,35811,44139,-888888888,131937,48140
498,"Weirton-Steubenville, WV-OH Metro Area",112305,,50065,38722,20769,36488,-888888888,97599,48260
499,"Wenatchee, WA Metro Area",119369,,44478,44528,28911,31666,-888888888,94976,48300
500,"Wheeling, WV-OH Metro Area",132595,,55796,48774,26340,41135,-888888888,116003,48540
502,"Wichita, KS Metro Area",627479,627479,246836,252823,162323,141543,-888888888,496544,48620
503,"Wichita Falls, TX Metro Area",137770,,56673,62738,33442,32487,-888888888,120966,48660
504,"Williamsport, PA Metro Area",106514,,44842,41434,23218,30967,-888888888,92921,48700
505,"Wilmington, NC Metro Area",288706,,121734,120505,56786,74438,-888888888,247988,48900
507,"Winchester, VA-WV Metro Area",135830,,50062,49200,30883,36773,-888888888,111687,49020
508,"Winston-Salem, NC Metro Area",662172,662172,270273,245490,146849,163026,-888888888,546402,49180
511,"Worcester, MA-CT Metro Area",913547,913547,363177,365498,196466,221685,-888888888,776740,49340
512,"Yakima, WA Metro Area",247015,,83992,100142,73689,48696,-888888888,184485,49420
513,"Yauco, PR Metro Area",89713,,30396,33813,17508,23705,-888888888,74506,49500
514,"York-Hanover, PA Metro Area",438490,,175441,164076,98639,113208,-888888888,361596,49620
515,"Youngstown-Warren-Boardman, OH-PA Metro Area",518600,518600,230643,184818,106394,158551,-888888888,443306,49660
516,"Yuba City, CA Metro Area",172818,,59866,69089,46549,38092,-888888888,133227,49700
517,"Yuma, AZ Metro Area",207253,,74042,84747,53571,51944,-888888888,164744,49740
