,NAME,S1701_C01_001E,S1703_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S0101_C02_032E,S2301_C01_001E,msa
65,"Billings, MT Metro Area",168647,,71787,63843,40207,41996,-888888888,136268,13740
66,"Binghamton, NY Metro Area",230642,,95740,91159,46767,64201,-888888888,199092,13780
67,"Birmingham-Hoover, AL Metro Area",1124693,1124693,435832,449541,260528,262964,-888888888,922349,13820
68,"Bismarck, ND Metro Area",128728,,56382,52640,29957,27775,-888888888,105333,13900
69,"Blacksburg-Christiansburg-Radford, VA Metro Area",167809,,68412,85822,29214,38993,-888888888,157195,13980
70,"Bay City, MI Metro Area",102858,,44469,36588,21083,29916,-888888888,86290,13020
71,"Beaumont-Port Arthur, TX Metro Area",392005,,145130,161324,99827,88300,-888888888,321236,13140
73,"Beckley, WV Metro Area",112818,,48632,41801,23801,33317,-888888888,96654,13220
74,"Bloomington, IL Metro Area",182122,,73580,87192,41346,37075,-888888888,154782,14010
75,"Bloomington, IN Metro Area",151388,,65571,87609,27767,32635,-888888888,143094,14020
76,"Bloomsburg-Berwick, PA Metro Area",78724,,34470,32186,15105,22937,-888888888,70313,14100
78,"Boise City, ID Metro Area",718621,718621,268289,298129,182026,149298,-888888888,570659,14260
79,"Boston-Cambridge-Newton, MA-NH Metro Area",4715638,4715638,1847798,2017183,962856,1071976,-888888888,4029372,14460
80,"Boulder, CO Metro Area",313578,,128295,145921,62140,67916,-888888888,271260,14500
81,"Bowling Green, KY Metro Area",168154,,67424,75109,40603,35193,-888888888,141445,14540
85,"Bremerton-Silverdale, WA Metro Area",261589,,105411,105569,55256,66244,-888888888,220424,14740
86,"Bridgeport-Stamford-Norwalk, CT Metro Area",926707,926707,345634,350499,211990,213405,-888888888,758754,14860
87,"Brownsville-Harlingen, TX Metro Area",420857,,124812,171460,128762,75340,-888888888,310656,15180
88,"Brunswick, GA Metro Area",114382,,47266,41241,25156,32483,-888888888,93988,15260
89,"Cape Girardeau, MO-IL Metro Area",90285,,34368,36874,19788,21978,-888888888,75410,16020
90,"Carbondale-Marion, IL Metro Area",118412,,51205,51200,25366,30531,-888888888,102092,16060
91,"Carson City, NV Metro Area",52685,,23099,19651,11316,14557,-888888888,45486,16180
92,"Casper, WY Metro Area",77033,,32240,31597,18914,16960,-888888888,62587,16220
93,"Cedar Rapids, IA Metro Area",265600,,109191,104656,63173,61614,-888888888,216129,16300
95,"Chambersburg-Waynesboro, PA Metro Area",152630,,59834,55427,34503,40372,-888888888,124906,16540
96,"Waco, TX Metro Area",257584,,97387,117315,65784,55499,-888888888,212277,47380
97,"Walla Walla, WA Metro Area",60740,,23893,26042,13695,17309,-888888888,53626,47460
98,"Warner Robins, GA Metro Area",187988,,71511,79056,47461,34828,-888888888,152032,47580
100,"Wichita Falls, TX Metro Area",137237,,54429,64931,33748,32296,-888888888,121435,48660
101,"Williamsport, PA Metro Area",106012,,44585,41715,23317,30539,-888888888,93463,48700
102,"Wilmington, NC Metro Area",286488,,120886,119344,55766,72166,-888888888,244872,48900
105,"Watertown-Fort Drum, NY Metro Area",105475,,44657,48852,26799,21841,-888888888,87104,48060
106,"Wausau, WI Metro Area",133011,,56245,49122,30847,32791,-888888888,108677,48140
107,"Weirton-Steubenville, WV-OH Metro Area",116612,,51680,39262,22615,36984,-888888888,99614,48260
108,"Wenatchee, WA Metro Area",118953,,47855,44077,29116,29082,-888888888,93724,48300
109,"Wheeling, WV-OH Metro Area",133461,,52435,48695,27014,41626,-888888888,116836,48540
111,"Wichita, KS Metro Area",633278,633278,248799,252574,163832,138221,-888888888,498466,48620
112,"Winchester, VA-WV Metro Area",138405,,53715,53235,32338,34693,-888888888,114065,49020
113,"Winston-Salem, NC Metro Area",657450,657450,270772,245752,148319,165121,-888888888,541219,49180
116,"Worcester, MA-CT Metro Area",914968,914968,353402,368016,197161,213603,-888888888,775749,49340
117,"Yakima, WA Metro Area",247591,,83320,99407,74450,47905,-888888888,184095,49420
118,"York-Hanover, PA Metro Area",439134,,173958,163390,98940,110523,-888888888,361664,49620
119,"Youngstown-Warren-Boardman, OH-PA Metro Area",520732,520732,227477,186630,108068,157471,-888888888,445710,49660
120,"Yuba City, CA Metro Area",171740,,58180,70596,46244,36327,-888888888,133540,49700
121,"Yuma, AZ Metro Area",205802,,74532,83963,53632,51270,-888888888,164347,49740
123,"Champaign-Urbana, IL Metro Area",221375,,96449,117807,44988,46174,-888888888,197363,16580
124,"Charleston, WV Metro Area",207251,,90728,72711,42534,60845,-888888888,173394,16620
125,"Charleston-North Charleston, SC Metro Area",769638,769638,294424,325759,171931,165138,-888888888,633420,16700
126,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2529486,2529486,960297,1043311,610760,489829,-888888888,2030682,16740
127,"Charlottesville, VA Metro Area",216082,,88765,96745,42849,57127,-888888888,193139,16820
128,"Chattanooga, TN-GA Metro Area",542377,542377,221133,212987,115686,139341,-888888888,456484,16860
129,"Cheyenne, WY Metro Area",96907,,39678,37898,23122,23335,-888888888,78343,16940
130,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9341637,9341637,3538101,3866031,2159045,1972550,-888888888,7589015,16980
131,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1099473,1099473,480106,426523,228155,288753,-888888888,931734,15380
132,"Burlington, NC Metro Area",161866,,64700,64108,36955,38922,-888888888,133308,15500
133,"Burlington-South Burlington, VT Metro Area",210601,,87329,93763,41102,51260,-888888888,184706,15540
134,"California-Lexington Park, MD Metro Area",109795,,41239,45071,27201,21778,-888888888,88694,15680
135,"Canton-Massillon, OH Metro Area",388674,,163626,141060,85377,104930,-888888888,322748,15940
136,"Cape Coral-Fort Myers, FL Metro Area",745525,745525,281222,235114,132674,268785,-888888888,637646,15980
137,"Chico, CA Metro Area",226193,,88636,95977,46212,58620,-888888888,190638,17020
139,"Cincinnati, OH-KY-IN Metro Area",2136790,2136790,862535,857693,510494,469319,-888888888,1736448,17140
142,"Clarksville, TN-KY Metro Area",278293,,104502,134728,76735,44526,-888888888,221020,17300
144,"Cleveland, TN Metro Area",120644,,46778,48049,26013,28871,-888888888,101680,17420
145,"Cleveland-Elyria, OH Metro Area",2015563,2015563,866039,756909,433874,529983,-888888888,1675861,17460
146,"Coeur d'Alene, ID Metro Area",159779,,64955,58980,36630,40751,-888888888,128401,17660
147,"College Station-Bryan, TX Metro Area",248252,,94615,141315,57124,37517,-888888888,214535,17780
148,"Colorado Springs, CO Metro Area",719787,719787,271694,318068,176140,140029,-888888888,581664,17820
149,"Columbia, MO Metro Area",170672,,72217,90098,36539,32208,-888888888,147029,17860
150,"Columbia, SC Metro Area",799498,799498,315092,348701,182635,174760,-888888888,671888,17900
151,"Columbus, GA-AL Metro Area",295552,,114607,128063,74619,63098,-888888888,240490,17980
152,"Columbus, IN Metro Area",81615,,31891,32180,19690,18148,-888888888,65756,18020
153,"Columbus, OH Metro Area",2051647,2051647,801805,889437,494992,403397,-888888888,1666326,18140
158,"Corpus Christi, TX Metro Area",443803,,161693,184010,110793,96470,-888888888,354356,18580
159,"Corvallis, OR Metro Area",86020,,35520,46215,14770,19806,-888888888,79378,18700
160,"Crestview-Fort Walton Beach-Destin, FL Metro Area",270805,,108340,106281,60774,66217,-888888888,224551,18880
162,"Cumberland, MD-WV Metro Area",88275,,37893,36697,17226,26500,-888888888,82599,19060
163,"Dallas-Fort Worth-Arlington, TX Metro Area",7451118,7451118,2623878,3208433,1954835,1251632,-888888888,5808669,19100
164,"Dalton, GA Metro Area",142084,,51023,57921,37278,27439,-888888888,111877,19140
165,"Danville, IL Metro Area",73670,,30166,26732,18046,19695,-888888888,60826,19180
167,"Daphne-Fairhope-Foley, AL Metro Area",214740,,83501,73403,47156,59517,-888888888,176222,19300
168,"Davenport-Moline-Rock Island, IA-IL Metro Area",370624,,153865,139567,87423,93377,-888888888,302639,19340
169,"Dayton, OH Metro Area",775270,775270,331426,307557,177221,198608,-888888888,650644,19380
170,"Decatur, AL Metro Area",150205,,57863,54762,34213,37718,-888888888,121962,19460
171,"Decatur, IL Metro Area",101448,,44562,37904,23097,29854,-888888888,84164,19500
172,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",648737,648737,259697,214611,115521,218033,-888888888,559164,19660
173,"Denver-Aurora-Lakewood, CO Metro Area",2898233,2898233,1131410,1272215,659089,546769,-888888888,2349994,19740
174,"Dover, DE Metro Area",172411,,67841,68812,40645,40615,-888888888,141800,20100
175,"Des Moines-West Des Moines, IA Metro Area",643510,643510,255055,270001,165975,119713,-888888888,508393,19780
176,"Detroit-Warren-Dearborn, MI Metro Area",4280784,4280784,1710686,1632807,954451,1012532,-888888888,3486955,19820
177,"Dothan, AL Metro Area",145901,,55431,54055,33434,37631,-888888888,118751,20020
179,"Dubuque, IA Metro Area",93086,,38501,36638,21527,23860,-888888888,77985,20220
180,"Duluth, MN-WI Metro Area",267971,,117226,105697,54289,74093,-888888888,230568,20260
182,"Durham-Chapel Hill, NC Metro Area",548549,548549,225699,244539,117016,123065,-888888888,471051,20500
183,"East Stroudsburg, PA Metro Area",167049,,55109,63457,33486,43294,-888888888,140323,20700
184,"Eau Claire, WI Metro Area",162197,,66796,69709,35033,38956,-888888888,137803,20740
185,"El Centro, CA Metro Area",171991,,41764,75672,50831,31908,-888888888,136416,20940
186,"Elmira, NY Metro Area",79831,,34325,29101,17598,22180,-888888888,68809,21300
187,"El Paso, TX Metro Area",826273,826273,271122,366561,228769,146685,-888888888,642514,21340
188,"Enid, OK Metro Area",59103,,22998,24677,15802,13245,-888888888,46697,21420
189,"Erie, PA Metro Area",258937,,109797,103475,58107,67077,-888888888,221307,21500
190,"Eugene, OR Metro Area",372184,,156072,155204,69901,100037,-888888888,317579,21660
192,"Evansville, IN-KY Metro Area",305036,,128680,118861,70090,75802,-888888888,253268,21780
193,"Fairbanks, AK Metro Area",94455,,36378,47750,23858,15628,-888888888,77416,21820
195,"Elizabethtown-Fort Knox, KY Metro Area",147583,,57098,60201,37251,32496,-888888888,119304,21060
196,"Elkhart-Goshen, IN Metro Area",201449,,73660,78771,56622,41493,-888888888,155311,21140
197,"Fargo, ND-MN Metro Area",237021,,99306,115423,56452,43456,-888888888,193867,22020
200,"Farmington, NM Metro Area",122966,,43707,49217,32938,26624,-888888888,96348,22140
201,"Fayetteville, NC Metro Area",369712,,146760,177081,96771,64915,-888888888,300733,22180
202,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",540744,540744,205278,241862,139733,100400,-888888888,429714,22220
204,"Flagstaff, AZ Metro Area",129038,,47275,69046,29455,25698,-888888888,116671,22380
205,"Flint, MI Metro Area",402235,,169469,148312,91553,100363,-888888888,325944,22420
206,"Florence, SC Metro Area",199966,,75826,76491,47621,50525,-888888888,163126,22500
207,"Florence-Muscle Shoals, AL Metro Area",144654,,59932,54602,28394,39380,-888888888,121777,22520
208,"Fond du Lac, WI Metro Area",99714,,41009,36698,22030,26627,-888888888,83684,22540
210,"Fort Collins, CO Metro Area",340970,,139382,156559,68998,77279,-888888888,288748,22660
212,"Fort Smith, AR-OK Metro Area",277948,,108790,106970,67423,63327,-888888888,222830,22900
214,"Fresno, CA Metro Area",975927,975927,309519,422138,281820,169961,-888888888,741706,23420
215,"Gadsden, AL Metro Area",100867,,38625,37123,22032,27509,-888888888,82575,23460
216,"Gainesville, FL Metro Area",274565,,105161,143473,52275,57166,-888888888,242070,23540
217,"Gainesville, GA Metro Area",200254,,64990,78970,51279,41323,-888888888,157289,23580
219,"Gettysburg, PA Metro Area",98508,,39570,34828,21167,28105,-888888888,83856,23900
220,"Fort Wayne, IN Metro Area",429730,,172311,171800,111368,91447,-888888888,339499,23060
221,"Glens Falls, NY Metro Area",121073,,51996,42957,22780,36785,-888888888,105188,24020
223,"Goldsboro, NC Metro Area",119577,,49019,46999,29155,30493,-888888888,96403,24140
224,"Grand Forks, ND-MN Metro Area",97067,,43081,45291,22592,20910,-888888888,82308,24220
225,"Grand Island, NE Metro Area",83465,,32687,30626,22350,19444,-888888888,65055,24260
226,"Grand Junction, CO Metro Area",150185,,61848,57611,33709,38857,-888888888,123093,24300
227,"Grand Rapids-Wyoming, MI Metro Area",1045599,1045599,397199,438278,254922,220479,-888888888,842061,24340
228,"Grants Pass, OR Metro Area",86480,,37059,27043,16840,29992,-888888888,72746,24420
229,"Great Falls, MT Metro Area",79634,,35558,31327,17900,21369,-888888888,65079,24500
230,"Greeley, CO Metro Area",306619,,107929,132284,82497,57811,-888888888,240422,24540
231,"Green Bay, WI Metro Area",312965,,129113,120681,74876,72090,-888888888,255642,24580
232,"Greenville, NC Metro Area",172388,,69288,85051,38427,34346,-888888888,145695,24780
235,"Greensboro-High Point, NC Metro Area",744783,744783,302101,299814,169555,174473,-888888888,617751,24660
236,"Greenville-Anderson-Mauldin, SC Metro Area",883043,883043,344664,354486,201658,206705,-888888888,729689,24860
238,"Gulfport-Biloxi-Pascagoula, MS Metro Area",390331,,155026,154391,92712,87017,-888888888,314697,25060
239,"Hagerstown-Martinsburg, MD-WV Metro Area",258198,,102106,102063,60201,62758,-888888888,216115,25180
240,"Hammond, LA Metro Area",130144,,47401,53754,32871,26868,-888888888,104241,25220
241,"Hanford-Corcoran, CA Metro Area",137060,,43727,69473,40773,20951,-888888888,114798,25260
242,"Harrisburg-Carlisle, PA Metro Area",555045,555045,233591,214758,123036,141095,-888888888,465912,25420
243,"Harrisonburg, VA Metro Area",126251,,47987,60702,27914,28066,-888888888,110758,25500
244,"Hartford-West Hartford-East Hartford, CT Metro Area",1166720,1166720,470651,466908,242284,292405,-888888888,996372,25540
245,"Hattiesburg, MS Metro Area",144761,,54084,64892,36225,29114,-888888888,117995,25620
248,"Hickory-Lenoir-Morganton, NC Metro Area",360049,,145158,129466,76892,96467,-888888888,300723,25860
250,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",211803,,84041,76234,41515,70798,-888888888,180891,25940
251,"Hinesville, GA Metro Area",77385,,31296,38290,22585,10780,-888888888,60090,25980
252,"Guayama, PR Metro Area",67923,,25441,26630,13687,18817,-888888888,-999999999,25020
253,"Iowa City, IA Metro Area",165686,,69686,86117,35838,31413,-888888888,141324,26980
256,"Homosassa Springs, FL Metro Area",145414,,62293,35536,21949,68279,-888888888,128567,26140
257,"Hot Springs, AR Metro Area",97515,,40407,33630,19787,31751,-888888888,81395,26300
258,"Houma-Thibodaux, LA Metro Area",205778,,73749,80220,51275,45933,-888888888,163170,26380
260,"Medford, OR Metro Area",217151,,89787,77014,44571,65130,-888888888,180233,32780
261,"Memphis, TN-MS-AR Metro Area",1323445,1323445,504141,540754,334204,279822,-888888888,1056054,32820
262,"Merced, CA Metro Area",268968,,79487,118046,80340,43607,-888888888,203248,32900
268,"Mayagüez, PR Metro Area",86728,,37540,33704,15034,28221,-888888888,75056,32420
269,"McAllen-Edinburg-Mission, TX Metro Area",855885,855885,237323,368464,281292,130718,-888888888,614895,32580
270,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6124734,6124734,2143067,2358469,1254388,1509489,-888888888,5089225,33100
271,"Michigan City-La Porte, IN Metro Area",102117,,43122,40965,23422,26760,-888888888,89123,33140
272,"Midland, MI Metro Area",81952,,34091,29662,18229,21712,-888888888,67552,33220
273,"Midland, TX Metro Area",175665,,59179,77804,51154,28438,-888888888,130723,33260
274,"Milwaukee-Waukesha-West Allis, WI Metro Area",1546059,1546059,634398,620108,362846,356507,-888888888,1254071,33340
275,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3569348,3569348,1386468,1469118,856977,722490,-888888888,2866310,33460
277,"Missoula, MT Metro Area",115701,,50401,54269,22121,25583,-888888888,98913,33540
278,"Mobile, AL Metro Area",406968,,158627,161345,96777,92616,-888888888,328844,33660
279,"Modesto, CA Metro Area",546057,546057,175171,227170,148801,101077,-888888888,418513,33700
280,"Monroe, LA Metro Area",168795,,64791,70362,42882,40466,-888888888,138767,33740
281,"Monroe, MI Metro Area",149045,,61586,53246,32182,37931,-888888888,122210,33780
282,"Montgomery, AL Metro Area",360744,,142728,148837,86822,80405,-888888888,298057,33860
284,"Morgantown, WV Metro Area",131565,,53173,68210,24172,28219,-888888888,118793,34060
285,"Morristown, TN Metro Area",115187,,43772,41320,25814,31424,-888888888,95938,34100
290,"Mount Vernon-Anacortes, WA Metro Area",126446,,48474,46204,27977,35896,-888888888,103110,34580
291,"Muncie, IN Metro Area",107717,,45311,50578,21430,26512,-888888888,95928,34620
292,"Muskegon, MI Metro Area",165624,,67196,65353,40064,41625,-888888888,138591,34740
293,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",473114,,187932,152113,82502,169360,-888888888,408365,34820
295,"Napa, CA Metro Area",136739,,47315,52025,28904,36088,-888888888,114103,34900
296,"Naples-Immokalee-Marco Island, FL Metro Area",374902,,144172,109126,64531,149247,-888888888,321278,34940
297,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1892057,1892057,730709,811226,446087,365861,-888888888,1534538,34980
298,"New Bern, NC Metro Area",117422,,49527,44262,26284,34736,-888888888,100124,35100
300,"New Haven-Milford, CT Metro Area",829382,829382,335539,332874,173312,209557,-888888888,705905,35300
301,"New Orleans-Metairie, LA Metro Area",1244965,1244965,482442,497418,282831,287778,-888888888,1018658,35380
303,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19629977,19629977,7282923,7997613,4289434,4389710,-888888888,16174055,35620
304,"Niles-Benton Harbor, MI Metro Area",151150,,64783,53809,33571,42824,-888888888,123766,35660
305,"North Port-Sarasota-Bradenton, FL Metro Area",811461,811461,334535,228778,133031,327067,-888888888,704555,35840
307,"Norwich-New London, CT Metro Area",255099,,108098,99689,51733,68253,-888888888,221413,35980
309,"Orlando-Kissimmee-Sanford, FL Metro Area",2527106,2527106,876502,1086401,562065,533225,-888888888,2073840,36740
310,"Oshkosh-Neenah, WI Metro Area",162762,,71332,69136,34900,38325,-888888888,140227,36780
312,"Owensboro, KY Metro Area",116919,,46687,44213,29459,28764,-888888888,93121,36980
314,"Ocala, FL Metro Area",348888,,143441,109201,65788,129048,-888888888,302081,36100
315,"Ocean City, NJ Metro Area",90737,,39208,28714,14739,32273,-888888888,79952,36140
316,"Odessa, TX Metro Area",160001,,54326,71350,48934,23546,-888888888,117708,36220
317,"Ogden-Clearfield, UT Metro Area",669913,,211332,291101,207390,106825,-888888888,491554,36260
319,"Oklahoma City, OK Metro Area",1362779,1362779,522039,584511,344764,271131,-888888888,1086472,36420
321,"Olympia-Tumwater, WA Metro Area",283280,,110713,113459,61381,68690,-888888888,232674,36500
322,"Omaha-Council Bluffs, NE-IA Metro Area",923363,923363,362764,383044,240490,184739,-888888888,728218,36540
325,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",838307,838307,271980,334352,194458,183056,-888888888,679810,37100
328,"Palm Bay-Melbourne-Titusville, FL Metro Area",590143,590143,226363,193364,109627,191416,-888888888,500565,37340
329,"Panama City, FL Metro Area",198538,,80447,77209,43440,49614,-888888888,164814,37460
330,"Parkersburg-Vienna, WV Metro Area",91463,,38995,31771,19888,24536,-888888888,75158,37620
331,"Pensacola-Ferry Pass-Brent, FL Metro Area",470226,,182711,197133,105077,117318,-888888888,401176,37860
332,"Peoria, IL Metro Area",359120,,147607,136420,85292,92701,-888888888,292926,37900
333,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5943817,5943817,2285651,2402712,1320923,1372346,-888888888,4925297,37980
334,"Portland-South Portland, ME Metro Area",523453,,228248,192326,100109,144654,-888888888,447188,38860
335,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2447000,2447000,954947,1036836,531211,518629,-888888888,2007800,38900
336,"Port St. Lucie, FL Metro Area",475962,,181838,152680,89653,160507,-888888888,403409,38940
337,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4773951,4773951,1730400,1974389,1153928,1036827,-888888888,3834872,38060
338,"Pine Bluff, AR Metro Area",77990,,32467,35239,18872,21902,-888888888,73892,38220
340,"Pittsburgh, PA Metro Area",2267626,2267626,1013812,847346,438714,644596,-888888888,1936873,38300
341,"Pittsfield, MA Metro Area",119676,,55212,42851,21564,39858,-888888888,108235,38340
343,"Pocatello, ID Metro Area",85289,,30635,37535,22544,16930,-888888888,67606,38540
344,"Ponce, PR Metro Area",284279,,107565,107716,56965,80070,-888888888,238834,38660
345,"Prescott, AZ Metro Area",226881,,100836,61880,37293,95141,-888888888,198754,39140
349,"Providence-Warwick, RI-MA Metro Area",1565994,1565994,621705,634220,320006,392671,-888888888,1343034,39300
350,"Provo-Orem, UT Metro Area",618013,618013,174426,310268,211310,69827,-888888888,443358,39340
351,"Pueblo, CO Metro Area",163507,,64954,64477,37486,42778,-888888888,134639,39380
352,"Punta Gorda, FL Metro Area",181377,,74975,40081,22207,91878,-888888888,165477,39460
354,"Racine, WI Metro Area",190105,,76808,73130,45350,46771,-888888888,157399,39540
355,"Raleigh, NC Metro Area",1337663,1337663,504854,570551,327949,237692,-888888888,1071251,39580
356,"Rapid City, SD Metro Area",143624,,58509,55101,33440,38046,-888888888,117383,39660
357,"Reading, PA Metro Area",406927,,157006,157190,93630,98856,-888888888,337231,39740
358,"Redding, CA Metro Area",176694,,68198,63525,38584,50818,-888888888,145037,39820
359,"Reno, NV Metro Area",465331,,187724,186820,102361,110827,-888888888,380451,39900
361,"Richmond, VA Metro Area",1270977,1270977,497416,519929,281971,286331,-888888888,1054268,40060
363,"Riverside-San Bernardino-Ontario, CA Metro Area",4533105,4533105,1366750,1937322,1188406,848859,-888888888,3570421,40140
364,"Roanoke, VA Metro Area",305457,,126687,112230,63395,87185,-888888888,257572,40220
366,"Rochester, MN Metro Area",216664,,88644,82705,53414,49832,-888888888,172704,40340
367,"Rochester, NY Metro Area",1030927,1030927,430682,407280,220075,270104,-888888888,875977,40380
368,"Rockford, IL Metro Area",331965,,133049,124040,79600,81879,-888888888,267367,40420
369,"Rocky Mount, NC Metro Area",143367,,58844,51195,32132,39466,-888888888,117486,40580
370,"Rome, GA Metro Area",93320,,34672,38656,22625,22880,-888888888,78167,40660
374,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2314011,2314011,835453,949291,535943,509692,-888888888,1868638,40900
375,"Saginaw, MI Metro Area",184490,,78740,70240,40848,49620,-888888888,154763,40980
376,"Salisbury, MD-DE Metro Area",395834,,161305,135799,77568,131989,-888888888,342422,41540
377,"Salt Lake City, UT Metro Area",1206060,1206060,402242,551982,335777,192103,-888888888,922505,41620
378,"San Angelo, TX Metro Area",113025,,43938,50805,28412,24983,-888888888,93439,41660
379,"San Antonio-New Braunfels, TX Metro Area",2476715,2476715,823888,1071312,635046,465473,-888888888,1955315,41700
